sheet_name,row_index,line_type,lot,chapter,subchapter,code_article,designation,unite,quantite,prix_unitaire,montant,confidence
Feuil1,5,chapter,,A/Evacuation EP .EV. EU.,,,A/Evacuation EP .EV. EU.,,,,,0.73
Feuil1,7,subchapter,,A/Evacuation EP .EV. EU.,Tuyau P.V.C évacuation,A-01,Tuyau P.V.C évacuation,,,,,0.81
Feuil1,9,item,,A/Evacuation EP .EV. EU.,Tuyau P.V.C évacuation,A-01.a,Tuyau P.V.C évacuation | diam.40 | le mètre linéaire,ML,71.0,,,0.99
Feuil1,11,item,,A/Evacuation EP .EV. EU.,Tuyau P.V.C évacuation,A-01.b,Tuyau P.V.C évacuation | diam.50 | le mètre linéaire,ML,11.0,,,0.99
Feuil1,13,item,,A/Evacuation EP .EV. EU.,Tuyau P.V.C évacuation,A-01.c,Tuyau P.V.C évacuation | diam.75 | le mètre linéaire,ML,52.0,,,0.99
Feuil1,15,item,,A/Evacuation EP .EV. EU.,Tuyau P.V.C évacuation,A-01.d,Tuyau P.V.C évacuation | diam.110 | le mètre linéaire,ML,128.0,,,0.99
Feuil1,17,item,,A/Evacuation EP .EV. EU.,Tuyau P.V.C évacuation,A-01.e,Tuyau P.V.C évacuation | diam.125 à 160 | le mètre linéaire,ML,154.0,,,0.99
Feuil1,19,subchapter,,A/Evacuation EP .EV. EU.,Tuyau P.V.C pression,A-02,Tuyau P.V.C pression,,,,,0.81
Feuil1,21,item,,A/Evacuation EP .EV. EU.,Tuyau P.V.C pression,A-02,Tuyau P.V.C pression | diam.160 | le mètre linéaire,ML,65.0,,,0.99
Feuil1,23,subchapter,,A/Evacuation EP .EV. EU.,Siphon de sol,A-03,Siphon de sol,,,,,0.81
Feuil1,24,item,,A/Evacuation EP .EV. EU.,Siphon de sol,A-03,Siphon de sol | l'unité,U,10.0,,,0.99
Feuil1,26,subchapter,,A/Evacuation EP .EV. EU.,Garde grève (jardinière),A-04,Garde grève (jardinière),,,,,0.81
Feuil1,28,item,,A/Evacuation EP .EV. EU.,Garde grève (jardinière),A-04,Garde grève (jardinière) | diam.110 | l'unité,U,3.0,,,0.99
Feuil1,30,subchapter,,A/Evacuation EP .EV. EU.,Station de Relevage,A-05,Station de Relevage,,,,,0.81
Feuil1,33,item,,A/Evacuation EP .EV. EU.,Station de Relevage,A-05.a,"Station de Relevage | Débit unitaire: 2 x 25,0 l/s P= 10 Mce | (Pression à verifié par l'entreprise) | l'ensemble",E,1.0,,,0.99
Feuil1,36,item,,A/Evacuation EP .EV. EU.,Station de Relevage,A-05.b,"Station de Relevage | Débit unitaire: 2 x 25,0 l/s P= 25 Mce (avec broyeur) | (Pression à verifié par l'entreprise) | l'ensemble",E,1.0,,,0.99
