sheet_name,row_index,line_type,lot,chapter,subchapter,code_article,designation,unite,quantite,prix_unitaire,montant,confidence
PL,2,item,,,,N° Prix,Désignation des ouvrages,Unité,,,,0.96
PL,3,subchapter,LOT N°3 : FLUIDES,,,3,LOT N°3 : FLUIDES,,,,,0.81
PL,4,subchapter,LOT N°3 : FLUIDES,,PLOMBERIE SANITAIRE - PROTECTION INCENDIE,3.1,PLOMBERIE SANITAIRE - PROTECTION INCENDIE,,,,,0.81
PL,5,subchapter,LOT N°3 : FLUIDES,,BRANCHEMENT ET COMPTAGE,3.1.1,BRANCHEMENT ET COMPTAGE,,,,,0.81
PL,6,item,LOT N°3 : FLUIDES,,BRANCHEMENT ET COMPTAGE,3.1.1.1,"Equipement de branchement compteur général DN75
L'unité",U,2.0,,0.0,0.99
PL,7,item,LOT N°3 : FLUIDES,,BRANCHEMENT ET COMPTAGE,3.1.1.2,"Equipement de branchement compteur général DN65 
L'unité",U,4.0,,0.0,0.99
PL,8,item,LOT N°3 : FLUIDES,,BRANCHEMENT ET COMPTAGE,3.1.1.3,"Surpresseur EP 4 m3/h Etage 5,6 & 7
L'unité d'ensemble",U,4.0,,0.0,0.99
PL,9,subchapter,LOT N°3 : FLUIDES,,Equipement niche à N compteurs,3.1.1.4,Equipement niche à N compteurs,,,,,0.81
PL,10,item,LOT N°3 : FLUIDES,,Equipement niche à N compteurs,3.1.1.4.1,"Nourrice 12 compteurs 
L'unité",U,2.0,,0.0,0.99
PL,11,item,LOT N°3 : FLUIDES,,Equipement niche à N compteurs,3.1.1.4.2,"Nourrice 13 compteurs 
L'unité",U,2.0,,0.0,0.99
PL,12,item,LOT N°3 : FLUIDES,,Equipement niche à N compteurs,3.1.1.4.3,"Nourrice 14 compteurs 
L'unité",U,2.0,,0.0,0.99
PL,13,item,LOT N°3 : FLUIDES,,Equipement niche à N compteurs,3.1.1.4.4,"Nourrice 15 compteurs 
L'unité",U,4.0,,0.0,0.99
PL,14,item,LOT N°3 : FLUIDES,,Equipement niche à N compteurs,3.1.1.4.5,"Nourrice 16 compteurs 
L'unité",U,1.0,,0.0,0.99
PL,15,total,LOT N°3 : FLUIDES,,,,Total,,,,0.0,0.77
PL,16,subchapter,LOT N°3 : FLUIDES,,RESEAUX DE DISTRIBUTION EF/ECS,3.1.2,RESEAUX DE DISTRIBUTION EF/ECS,,,,,0.81
PL,17,subchapter,LOT N°3 : FLUIDES,,RESEAU EXTERIEUR,3.1.2.1,RESEAU EXTERIEUR,,,,,0.81
PL,18,item,LOT N°3 : FLUIDES,,RESEAU EXTERIEUR,3.1.2.1.1,"PVC PN16 DN75
Le mètre linéaire",ML,22.0,,0.0,0.99
PL,19,item,LOT N°3 : FLUIDES,,RESEAU EXTERIEUR,3.1.2.1.2,"PVC PN16 DN63
Le mètre linéaire",ML,22.0,,0.0,0.99
PL,20,subchapter,LOT N°3 : FLUIDES,,RESEAU INTERIEUR,3.1.2.2,RESEAU INTERIEUR,,,,,0.81
PL,21,subchapter,LOT N°3 : FLUIDES,,Tube en PPR,3.1.2.2.1,Tube en PPR,,,,,0.81
