sheet_name,row_index,chapter,subchapter,code_article,product_name,unite,quantite,prix_unitaire,montant,confidence
PL,6,,BRANCHEMENT ET COMPTAGE,3.1.1.1,Equipement de branchement compteur général DN75,U,2.0,,0.0,0.99
PL,7,,BRANCHEMENT ET COMPTAGE,3.1.1.2,Equipement de branchement compteur général DN65,U,4.0,,0.0,0.99
PL,8,,BRANCHEMENT ET COMPTAGE,3.1.1.3,"Surpresseur EP 4 m3/h Etage 5,6 & 7 | L'unité d'ensemble",U,4.0,,0.0,0.99
PL,10,,Equipement niche à N compteurs,3.1.1.4.1,Nourrice 12 compteurs,U,2.0,,0.0,0.99
PL,11,,Equipement niche à N compteurs,3.1.1.4.2,Nourrice 13 compteurs,U,2.0,,0.0,0.99
PL,12,,Equipement niche à N compteurs,3.1.1.4.3,Nourrice 14 compteurs,U,2.0,,0.0,0.99
PL,13,,Equipement niche à N compteurs,3.1.1.4.4,Nourrice 15 compteurs,U,4.0,,0.0,0.99
PL,14,,Equipement niche à N compteurs,3.1.1.4.5,Nourrice 16 compteurs,U,1.0,,0.0,0.99
PL,18,,RESEAU EXTERIEUR,3.1.2.1.1,PVC PN16 DN75 | Le mètre linéaire,ML,22.0,,0.0,0.99
PL,19,,RESEAU EXTERIEUR,3.1.2.1.2,PVC PN16 DN63 | Le mètre linéaire,ML,22.0,,0.0,0.99
PL,22,,Tube en PPR,3.1.2.2.1.1,PPR diamètre Ø20 | Le mètre linéaire,ML,3707.0,,0.0,0.99
PL,23,,Tube en PPR,3.1.2.2.1.2,PPR diamètre Ø25 | Le mètre linéaire,ML,2134.0,,0.0,0.99
PL,24,,Tube en PPR,3.1.2.2.1.3,PPR diamètre Ø32 | Le mètre linéaire,ML,4323.0,,0.0,0.99
PL,25,,Tube en PPR,3.1.2.2.1.4,PPR diamètre Ø40 | Le mètre linéaire,ML,2618.0,,0.0,0.99
PL,26,,Tube en PPR,3.1.2.2.1.5,PPR diamètre Ø63 | Le mètre linéaire,ML,187.0,,0.0,0.99
PL,27,,Tube en PPR,3.1.2.2.1.6,PPR diamètre Ø75 | Le mètre linéaire,ML,83.0,,0.0,0.99
PL,29,,Tube en PER,3.1.2.2.2.1,PER Ø13/16 | Le mètre linéaire,ML,7502.0,,0.0,0.99
PL,30,,Tube en PER,3.1.2.2.2.2,PER Ø16/20 | Le mètre linéaire,ML,2959.0,,0.0,0.99
PL,31,,Tube en PER,3.1.2.2.3,Coffret de distribution EF/ECS,U,346.0,,0.0,0.99
PL,33,,Vanne d'arrêt,3.1.2.2.4.1,Ø32,U,148.0,,0.0,0.99
PL,34,,Vanne d'arrêt,3.1.2.2.4.2,Ø40,U,177.0,,0.0,0.99
PL,35,,Vanne d'arrêt,3.1.2.2.5,Anti-bélier,U,4.0,,0.0,0.99
PL,36,,Vanne d'arrêt,3.1.2.2.6,Robinet de puisage,U,40.0,,0.0,0.99
PL,40,,Tube en PVC,3.1.3.1.1.1,Ø40 | Le mètre linéaire,ML,682.0,,0.0,0.99
